,t_user_id,parsed_date,bearing
0,10.0,2008-03-28,134.329147936
1,10.0,2008-03-29,211.016310397
2,10.0,2008-03-30,149.693009613
3,10.0,2008-03-31,195.073215235
4,10.0,2008-04-01,159.606982808
5,10.0,2008-04-02,184.530404885
6,10.0,2008-04-03,111.106602675
7,10.0,2008-04-04,148.987169532
8,10.0,2008-04-05,109.637888271
9,10.0,2008-04-06,88.0778934613
10,10.0,2008-05-18,155.582125767
11,10.0,2008-05-19,240.321224475
12,10.0,2008-06-13,318.853879047
13,10.0,2008-06-15,88.654920656
14,10.0,2008-06-16,213.102377873
15,10.0,2008-06-17,176.75054495
16,10.0,2008-06-18,219.80790721
17,10.0,2008-06-19,187.848107629
18,10.0,2008-06-20,180.732079354
19,10.0,2008-06-28,172.969268224
20,10.0,2008-08-01,138.386682429
21,10.0,2008-09-15,116.805708346
22,10.0,2008-09-16,197.249956104
23,10.0,2008-09-17,172.269773937
24,10.0,2008-09-18,197.475147161
25,10.0,2008-09-19,168.777592193
26,10.0,2008-09-21,238.87565544
27,10.0,2008-09-22,168.280642844
28,10.0,2008-09-23,186.8436423
29,10.0,2008-09-24,186.83231434
30,10.0,2008-09-25,219.838008611
31,10.0,2008-09-26,186.604133122
32,10.0,2008-09-27,208.708994945
33,10.0,2008-09-28,190.740151168
34,10.0,2008-09-29,201.823572491
35,10.0,2008-09-30,182.333324409
36,10.0,2008-10-01,179.849569462
37,10.0,2008-10-02,136.940312947
38,10.0,2008-10-03,165.953047515
39,10.0,2008-10-05,213.786545445
40,10.0,2008-10-06,197.332023303
41,10.0,2008-10-07,194.441545757
42,10.0,2008-10-08,205.516461869
43,10.0,2008-10-09,191.833482582
44,10.0,2008-10-10,203.88184819
45,10.0,2008-10-12,190.993955575
46,10.0,2008-10-13,200.257411542
47,10.0,2008-10-14,223.975543012
48,10.0,2008-10-15,150.115488046
49,10.0,2008-10-16,206.807949162
50,10.0,2008-10-17,182.341180675
51,10.0,2008-10-18,158.058181244
52,10.0,2008-10-19,195.919225138
53,10.0,2008-10-20,199.805431271
54,10.0,2008-10-21,258.273240649
55,10.0,2008-10-31,151.454127265
56,10.0,2008-11-01,235.115925791
57,10.0,2008-11-04,198.898975484
58,10.0,2008-11-06,150.845440798
59,10.0,2008-11-07,225.104577266
60,10.0,2008-11-08,214.324053556
61,10.0,2008-12-01,240.472114986
62,10.0,2008-12-06,164.97441335
63,10.0,2008-12-07,238.726210792
64,20.0,2011-08-27,139.17981518
65,20.0,2011-08-28,173.620291283
66,20.0,2011-08-29,140.305370071
67,20.0,2011-08-30,168.54983072
68,20.0,2011-08-31,211.966400382
69,20.0,2011-09-01,181.638961182
70,20.0,2011-09-02,190.876061316
71,20.0,2011-09-03,136.189994464
72,20.0,2011-09-04,174.992823026
73,20.0,2011-09-05,163.516349526
74,20.0,2011-09-06,170.402208086
75,20.0,2011-09-07,100.031132404
76,20.0,2011-09-09,130.251895811
77,20.0,2011-09-10,119.191204548
78,20.0,2011-09-11,185.741659539
79,20.0,2011-09-12,156.596894626
80,20.0,2011-09-13,106.196197408
81,20.0,2011-09-14,191.828386997
82,20.0,2011-09-15,188.49429519
83,20.0,2011-09-16,166.599465762
84,20.0,2011-09-17,204.803636291
85,20.0,2011-10-22,162.395900291
86,20.0,2011-10-26,150.411835179
87,20.0,2011-11-02,258.224744335
88,20.0,2011-11-06,196.77826646
89,20.0,2011-11-17,214.218266637
90,20.0,2011-11-18,159.346457493
91,20.0,2011-12-01,199.792121104
92,20.0,2011-12-27,174.46190206
93,21.0,2007-04-29,174.649712819
94,21.0,2007-04-30,251.803602377
95,21.0,2007-05-01,213.740272844
96,21.0,2007-05-02,206.077276531
97,21.0,2007-05-03,173.785657024
98,21.0,2007-05-04,153.632758737
99,52.0,2008-05-20,158.864630938
100,52.0,2008-05-21,175.982523778
101,52.0,2008-05-22,193.364225964
102,52.0,2008-05-23,141.196508575
103,52.0,2008-05-25,183.738067413
104,52.0,2008-05-26,225.788134813
105,52.0,2008-05-27,145.830874215
106,52.0,2008-05-28,162.713281687
107,52.0,2008-05-29,204.646623143
108,52.0,2008-05-30,120.573719028
109,52.0,2008-05-31,182.17612531
110,52.0,2008-06-01,184.582989618
111,52.0,2008-06-02,187.585068201
112,52.0,2008-06-03,184.755163438
113,52.0,2008-06-04,140.282430642
114,52.0,2008-06-05,203.094163847
115,52.0,2008-06-06,148.082107663
116,52.0,2008-06-07,224.251258835
117,52.0,2008-06-09,196.610011109
118,52.0,2008-06-10,174.226533166
119,52.0,2008-06-12,211.184098951
120,52.0,2008-06-13,159.819274192
