,t_user_id,parsed_date,distance
0,10.0,2008-03-28,562434.721227
1,10.0,2008-03-29,598181.095033
2,10.0,2008-03-30,649913.579953
3,10.0,2008-03-31,646036.032502
4,10.0,2008-04-01,594067.800734
5,10.0,2008-04-02,9148.99983885
6,10.0,2008-04-03,927722.132476
7,10.0,2008-04-04,2851263.60826
8,10.0,2008-04-05,1330445.79712
9,10.0,2008-04-06,826155.388088
10,10.0,2008-05-18,30144.5323691
11,10.0,2008-05-19,160245.04771
12,10.0,2008-06-13,1806.84519711
13,10.0,2008-06-15,77308.4992687
14,10.0,2008-06-16,107998.504314
15,10.0,2008-06-17,265028.757191
16,10.0,2008-06-18,1055084.06481
17,10.0,2008-06-19,1608781.84031
18,10.0,2008-06-20,605970.42894
19,10.0,2008-06-28,24735.0358442
20,10.0,2008-08-01,2614157.61065
21,10.0,2008-09-15,2291.91968811
22,10.0,2008-09-16,632160.31035
23,10.0,2008-09-17,681520.214146
24,10.0,2008-09-18,62754.825051
25,10.0,2008-09-19,288407.888828
26,10.0,2008-09-21,116939.792061
27,10.0,2008-09-22,242606.487316
28,10.0,2008-09-23,482090.763025
29,10.0,2008-09-24,498587.214363
30,10.0,2008-09-25,460552.915136
31,10.0,2008-09-26,657768.847943
32,10.0,2008-09-27,568100.017185
33,10.0,2008-09-28,1372431.8806
34,10.0,2008-09-29,2756047.44395
35,10.0,2008-09-30,1286287.78741
36,10.0,2008-10-01,1204216.48657
37,10.0,2008-10-02,3730601.04229
38,10.0,2008-10-03,5505767.04747
39,10.0,2008-10-05,227376.915712
40,10.0,2008-10-06,491003.130625
41,10.0,2008-10-07,277392.366546
42,10.0,2008-10-08,382607.302896
43,10.0,2008-10-09,596290.686738
44,10.0,2008-10-10,250925.715683
45,10.0,2008-10-12,331293.126253
46,10.0,2008-10-13,355738.066247
47,10.0,2008-10-14,34235.971487
48,10.0,2008-10-15,267531.593494
49,10.0,2008-10-16,809963.077532
50,10.0,2008-10-17,383191.710403
51,10.0,2008-10-18,4955.18416942
52,10.0,2008-10-19,337488.170027
53,10.0,2008-10-20,22771.7338346
54,10.0,2008-10-21,8383.19086576
55,10.0,2008-10-31,477932.284745
56,10.0,2008-11-01,131291.517177
57,10.0,2008-11-04,21073.3817285
58,10.0,2008-11-06,479456.666012
59,10.0,2008-11-07,78345.070181
60,10.0,2008-11-08,81271.0043079
61,10.0,2008-12-01,8241.49229097
62,10.0,2008-12-06,557664.206754
63,10.0,2008-12-07,499051.357242
64,20.0,2011-08-27,14414.7220593
65,20.0,2011-08-28,36526.3957153
66,20.0,2011-08-29,7421.46135452
67,20.0,2011-08-30,12296.5997419
68,20.0,2011-08-31,7388.49722874
69,20.0,2011-09-01,13510.8786807
70,20.0,2011-09-02,7262.79031772
71,20.0,2011-09-03,8777.89703354
72,20.0,2011-09-04,11039.8638041
73,20.0,2011-09-05,25887.100375
74,20.0,2011-09-06,16812.2312216
75,20.0,2011-09-07,2659.17787564
76,20.0,2011-09-09,823.253166501
77,20.0,2011-09-10,13414.777755
78,20.0,2011-09-11,3183471.7224
79,20.0,2011-09-12,101987.488977
80,20.0,2011-09-13,5855.81288402
81,20.0,2011-09-14,6648.5188267
82,20.0,2011-09-15,6324.00973872
83,20.0,2011-09-16,11518.0571404
84,20.0,2011-09-17,7323.55026385
85,20.0,2011-10-22,53.2887337773
86,20.0,2011-10-26,243.19741167
87,20.0,2011-11-02,805.728735567
